2026-04-23 14:44:44 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:44 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:44 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:44 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:46 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:46 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:46 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:46 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:46 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:46 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:48 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:48 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:48 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:48 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:50 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:50 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:50 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:50 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:53 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:53 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:53 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:53 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:53 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:53 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:55 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:55 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:55 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:55 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:55 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

